Robot_Position X	Robot_Position Y	weight
603	401	0.272842
605	406	0.051246
601	404	0.272503
602	388	0.275194
601	390	0.257454
601	391	0.046547
601	387	0.263938
601	386	0.266306
601	393	0.273629
601	393	0.273629
601	393	0.276740
601	393	0.276203
601	393	0.051537
601	393	0.052069
601	393	0.052069
601	393	0.264250
601	393	0.053992
601	393	0.269381
601	393	0.269381
601	393	0.264490
601	393	0.261134
601	393	0.261134
601	393	0.265637
601	393	0.271186
601	393	0.271186
601	393	0.263863
601	393	0.284870
601	393	0.284870
601	393	0.278660
601	393	0.278660
601	393	0.058482
601	393	0.266185
601	393	0.265217
601	393	0.265217
601	393	0.292339
601	393	0.267296
601	393	0.298600
601	393	0.298600
601	393	0.266346
601	393	0.282581
601	393	0.250132
601	393	0.250132
601	393	0.271010
601	395	0.271010
601	393	0.040473
601	390	0.273709
601	392	0.273709
601	392	0.273709
601	392	0.273709
601	392	0.273709
601	392	0.273709
601	392	0.273709
601	393	0.273709
601	393	0.273709
601	393	0.273709
601	393	0.273709
601	393	0.273709
601	394	0.267477
601	392	0.282165
601	392	0.282165
601	392	0.263501
601	392	0.041928
601	392	0.266879
601	389	0.255008
602	388	0.254985
602	389	0.048106
602	389	0.054142
602	391	0.053881
601	393	0.053913
601	393	0.271579
601	393	0.055292
601	393	0.046427
601	393	0.046427
601	393	0.278338
601	393	0.271574
601	393	0.048223
601	393	0.048223
601	393	0.035445
601	393	0.052654
601	393	0.052654
601	393	0.244996
601	393	0.264059
601	393	0.264059
601	393	0.278110
601	393	0.285637
601	393	0.273315
601	393	0.256829
601	393	0.256829
601	393	0.267829
601	393	0.050846
601	393	0.052392
601	393	0.052392
601	393	0.282595
601	393	0.278309
601	393	0.265651
601	393	0.265651
601	393	0.272938
601	393	0.053465
601	393	0.054972
601	393	0.054972
601	393	0.261413
601	393	0.252656
601	393	0.279114
601	389	0.269635
601	393	0.266839
601	391	0.266839
601	388	0.266839
601	388	0.265547
601	388	0.265547
601	389	0.265547
601	392	0.265547
601	393	0.261491
601	393	0.266650
601	393	0.038860
601	393	0.271152
601	393	0.271152
601	393	0.260743
601	393	0.268080
601	393	0.046954
601	393	0.046954
601	393	0.271240
601	393	0.265225
601	395	0.265225
601	393	0.268746
601	393	0.274155
601	393	0.262808
601	393	0.280772
601	393	0.280772
601	393	0.273930
601	393	0.050884
601	395	0.275819
601	393	0.275819
601	393	0.271228
601	393	0.276217
601	393	0.263180
601	393	0.263180
601	393	0.042862
601	393	0.037620
601	393	0.281127
601	393	0.281127
601	393	0.246837
601	393	0.262951
601	395	0.262951
601	393	0.276677
601	393	0.285615
601	393	0.264213
601	393	0.264213
601	393	0.274612
601	393	0.280053
601	393	0.045351
601	393	0.045351
601	393	0.283502
601	393	0.045111
601	393	0.045111
601	393	0.046262
601	393	0.046262
601	393	0.255969
601	393	0.275727
601	396	0.275727
601	393	0.048959
601	393	0.048959
601	393	0.272465
601	393	0.272465
601	394	0.039488
601	392	0.269085
601	388	0.272406
601	388	0.281398
601	389	0.284483
601	388	0.284483
601	388	0.048503
601	388	0.256938
601	388	0.252980
601	388	0.252980
601	388	0.043446
601	388	0.270455
601	388	0.270455
601	388	0.046993
601	388	0.272819
601	388	0.272819
601	388	0.291630
601	388	0.288694
601	389	0.251079
601	389	0.251079
601	389	0.047019
601	388	0.052386
601	388	0.264479
601	388	0.252143
601	388	0.252709
601	388	0.271462
601	388	0.271462
601	387	0.271462
601	388	0.265692
601	388	0.265692
601	388	0.045862
601	388	0.040441
601	388	0.040441
601	388	0.034793
601	388	0.254905
601	388	0.254905
601	388	0.040617
601	388	0.038502
601	388	0.038502
601	388	0.036422
601	388	0.257805
